date,adx,ma_slope,volatility_regime,atr_ratio,adx_score,slope_score,regime_score,favorable_regime,position_size_adj,in_season,season,hmm_confidence
2020-02-21 14:35:00,48.28226976261526,-0.057006144993099195,1,1.218898518311434,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 14:40:00,46.8717055369297,-0.04683735615843565,1,1.2513721185510427,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 14:45:00,44.399178064408694,-0.04788591181509316,1,1.2375571697605594,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 14:50:00,42.399981761420726,-0.04489478906183342,1,1.2536212799578614,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 14:55:00,38.80858391196757,-0.04010829238945135,1,1.244215938303342,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 15:00:00,36.01712249981871,-0.039960309086262136,1,1.1927528938097631,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 15:05:00,32.110017100184855,-0.0384662589542617,1,1.132542037586548,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 15:10:00,29.68029822468818,-0.03906688520174395,1,1.0705596107055961,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 15:15:00,27.363772167302134,-0.04056540085651816,1,1.042267050912584,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 15:20:00,23.925566537324418,-0.039520425623007505,1,1.023454157782516,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 15:25:00,19.461280823050036,-0.038175481460189786,1,0.9833762584874736,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 15:30:00,17.077367058545605,-0.04551191169491764,1,1.0046296296296295,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 15:35:00,15.809315978467513,-0.050603726410503036,1,0.9431792040487692,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 15:40:00,15.883048697360593,-0.058688872619694354,1,0.9362092703074806,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 15:45:00,13.569530697574137,-0.06392952481049097,1,0.9654541294898192,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 15:50:00,13.606862703547264,-0.0649801765544411,1,0.9881602914389799,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 15:55:00,14.293675890358825,-0.06393545962407599,1,0.9893351486271841,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 16:00:00,15.269732013583825,-0.06393900189270996,1,0.98256735340729,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-24 09:30:00,20.90850349850225,-0.11860086914071699,2,2.640182081522864,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 09:35:00,24.04010096507678,-0.16922627649776922,2,2.5137440758293836,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 09:40:00,28.546658589405926,-0.21895634801178954,2,2.3920612813370474,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 09:45:00,33.209994623246736,-0.26405932422980394,2,2.2551069647740065,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 09:50:00,37.73313270800208,-0.3082698094808656,2,2.13635685513949,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 09:55:00,41.82539026033151,-0.35219021567344244,2,2.0241901849019883,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 10:00:00,46.44097951278578,-0.4010510924410071,2,1.9595120685180378,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 10:05:00,49.617789650038844,-0.4484150408562648,2,1.8184031158714704,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 10:10:00,51.90753703730894,-0.4954797028620006,1,1.7523417866118347,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 10:15:00,54.13545062749671,-0.5443536605648447,1,1.6886600150198479,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 10:20:00,58.42485869841187,-0.5403346956644239,1,1.6006467259498787,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 10:25:00,62.10036014042108,-0.5406418997472295,1,1.5055406954528086,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 10:30:00,65.62002887747835,-0.5461905498078123,1,1.4385234777888356,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 10:35:00,68.88060411565438,-0.5539954046464013,1,1.3766434648105184,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 10:40:00,63.86641734834205,-0.5602977436333534,1,0.6630581867388363,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 10:45:00,59.15398692163094,-0.5636017595078591,1,0.6204136090727151,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 10:50:00,54.57520974987814,-0.5634616339184051,0,0.5818361628481952,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 10:55:00,49.86341185341649,-0.5652633907676563,0,0.5516115871073031,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 11:00:00,46.62163877367667,-0.5718785714178276,0,0.5713824550076668,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 11:05:00,43.312945483171056,-0.5736978805720105,0,0.5496085636683177,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 11:10:00,41.00331798549164,-0.5735690920876002,0,0.5229936880072138,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 11:15:00,37.68933159166092,-0.5690704980761963,0,0.5594876980114594,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 11:20:00,35.42019851072106,-0.5611126873645511,0,0.5463244889082209,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 11:25:00,33.59871093179964,-0.5499840682813839,0,0.5425867507886435,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 11:30:00,30.74515279140483,-0.5456248772306327,0,0.5582092348037839,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 11:35:00,27.14105136081967,-0.5451766381378675,0,0.5929971715595435,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 11:40:00,23.649727294964567,-0.5491072846720346,1,0.6400326131267836,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 11:45:00,20.293966118229843,-0.5550064854180303,1,0.6695809787823861,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 11:50:00,21.917893305380485,-0.5560864357009976,1,0.6710806867916059,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 11:55:00,22.997381193377016,-0.5567037802520325,1,0.7533759772565743,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 12:00:00,25.10351598599862,-0.5632329419256177,1,0.8054196462175387,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 12:05:00,28.07228883014866,-0.576726462976962,1,0.8861096327833953,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 12:10:00,28.701540530827252,-0.5896244312438625,1,0.8763693270735523,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 12:15:00,29.67967913306472,-0.6029831799428731,1,0.9715857011915675,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 12:20:00,29.609268087117503,-0.6121249044741761,1,0.9973753280839894,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 12:25:00,31.629281971532343,-0.6211321752851551,1,0.9813084112149534,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 12:30:00,33.83405394374041,-0.6294081768305371,1,1.0109546165884193,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 12:35:00,33.424288588322945,-0.6297884775190776,1,1.0667918035351165,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 12:40:00,33.05850697289613,-0.6306184202711562,1,1.0541176470588234,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 12:45:00,32.94977495549952,-0.6363118293660208,1,1.0286253538848693,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 12:50:00,32.04274547704379,-0.6359491972494524,1,0.9645390070921986,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 12:55:00,30.942598904458873,-0.6356074429845204,1,0.9624821909134083,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 13:00:00,30.737156456780287,-0.6402965455436616,1,1.0121777637197533,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 13:05:00,32.7612802855279,-0.6434581752186141,1,0.9400221554043362,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 13:10:00,33.81604638210639,-0.649525352737057,1,0.9220532319391633,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 13:15:00,34.041098809092205,-0.6548424844549428,1,0.8966613672496024,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 13:20:00,33.999271267266195,-0.6601816915529524,1,0.9103977000479156,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 13:25:00,32.11768828332615,-0.668088000147038,1,0.9695999999999999,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 13:30:00,30.48454721305162,-0.6756922435618429,1,0.9750639386189258,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 13:35:00,27.591721929511827,-0.6805642027523096,1,0.9679487179487181,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 13:40:00,23.619729835657555,-0.6294316854866921,1,0.9494689411007403,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 13:45:00,21.691247529984594,-0.5776406098852993,1,0.915138731137433,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 13:50:00,20.541147202086595,-0.5227291933959655,1,0.9190158057682908,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 13:55:00,19.530875543756974,-0.47080458073482934,1,0.9400589584015723,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 14:00:00,18.86353925801398,-0.4183585389608835,1,0.9769736842105263,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 14:05:00,18.08824060072782,-0.3667639776800624,1,1.0205761316872426,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 14:10:00,17.268614367090205,-0.31233050638529436,1,0.9788359788359787,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 14:15:00,14.841490341758051,-0.2622790056526436,1,0.9988346928583318,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 14:20:00,13.436508727939847,-0.21200203052890165,1,1.0429550392779543,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 14:25:00,13.774179251554092,-0.15378249349975448,1,1.1025726695623121,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 14:30:00,14.912663999307497,-0.1494756770028305,1,1.069821696383936,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 14:35:00,16.906732922505206,-0.1391488599368662,1,1.0036678892964321,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 14:40:00,18.801419683481573,-0.12557671841622042,1,0.9814101490537598,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 14:45:00,20.99690840528084,-0.10937504827641664,1,0.9629256836101325,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 14:50:00,24.014370821943057,-0.0916251803919077,1,0.9891031014249791,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 14:55:00,27.09997298038601,-0.07155198259262141,1,0.9996656636576396,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 15:00:00,30.282341818325225,-0.05224393900751245,1,1.0447512893029447,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 15:05:00,34.068723920826464,-0.03308365991852025,1,1.0113107119095144,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 15:10:00,35.967338280429665,-0.014379968240374463,1,1.036717062634989,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 15:15:00,38.83345950097529,-0.0037113095974539156,1,0.9876953774526107,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 15:20:00,40.89315656066845,0.0034022600285510407,1,1.0031556219897029,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 15:25:00,43.205436858019084,0.002783762006908219,1,0.9714854111405836,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 15:30:00,43.00076052415449,-0.0003093102381779289,1,0.9571121046530883,0,0,80.0,True,1.2,1,Q1,0.8
2020-02-24 15:35:00,39.45672698557155,-0.006340801044235622,1,0.9347033476963871,0,0,80.0,True,1.2,1,Q1,0.8
